job_title;degree;key_skills;;;;;;;;;;;;job_experience
 Digital Media Planner;Sci&Tech; Media Planning; Digital Media;;;;;;;;;;;3
 Online Bidding Executive;Sci&Tech; pre sales; closing; software knowledge; clients; requirements; negotiating; client; online bidding; good communication; technology;;;5
 Trainee Research/ Research Executive- Hi- Tech Operations;Comm&Mgmt; Computer science; Fabrication; Quality check; Intellectual property; Electronics; Support services; Research; Management; Human resource management; Research Executive;;;10
 Technical Support;Sci&Tech; Technical Support;;;;;;;;;;;;6
 Software Test Engineer -hyderabad;Comm&Mgmt; manual testing; test engineering; test cases; web testing; web technologies;;;;;;;;9
 Opening For Adobe Analytics Specialist;Sci&Tech; adobe experience manager; digital; digital marketing; adobe analytics; data analytics; aem; adobe; sitecatalyst;;;;;3
 Sales- Fresher-for Leading Property Consultant;Comm&Mgmt; channel partners; real estate; negotiation; property; Residential Sales;;;;;;;;7
 Opportunity For Azure Devops Architect For Hyderabad Location;Sci&Tech; TFS; Azure; Git; VSTS; Docker; DynaTrace; Splunk; AWS;;;;;6
 Technical Support/ Product Support;Comm&Mgmt; technical support; support services; application support; communication skills; voice based process; semi voice; semi voice process;;;;;;6
 Executive Assistant To Chairman;Comm&Mgmt; secretary; executive assistant; ea;;;;;;;;;;6
 SEO Executive;Comm&Mgmt; website; web analytics; xml; link building; google analytics; case studies; seo; social media; tracking; maintaining;;;5
 Workflow Coordinator;Comm&Mgmt; operations; workflow; tat; monitoring; mts; email;;;;;;;2
Oracle IDAM;Comm&Mgmt;Oracle IDAM;OIM;OAM;;;;;;;;;;3
 Looking Facebook /social Media Manager For our Digital Marketing Ageny;Comm&Mgmt; digital marketing; seo; social media marketing; content marketing; email marketing; sem; google analytics; campaign management; facebook; media management;;;4
 Wanted Engineering Fresher For MNC Chennai;Comm&Mgmt; instrumentation engineering; electrical engineering; Engineering; fresher; Trainee; immediate; Mechanical Engineering; electronics engineering; undergraduate;;;;3
 Account Manager;Comm&Mgmt; Report Generation; Policies; analytical; procedures; Analysts; Data Entry; analytical skills;;;;;;6
 Magento Developer;Comm&Mgmt; Copyright; Email; jQuery; XML; Javascript; CakePHP; Customer service; Open source; Facebook; CSS3;;;9
 Looking For Trained Freshers in MS Dynamics CRM- Hyderabad;Comm&Mgmt; C#; MS Dynamics CRM; Microsoft Dynamics; ms dynamics;;;;;;;;;5
 Job Openings Kotak Life/ Max Life/ Aditya Birla Health for Sales Mgr;Comm&Mgmt; sales manager; business development manager; relationship manager; brokers; insurance sales; channel sales; direct sale; direct marketing; sales; Marketing Executive; Territory Sales Manager;;7
 Business Development / Corporate Sales;Comm&Mgmt; lead generation; business development; corporate sales;;;;;;;;;;4
 Business Development Manager (BDM);Sci&Tech; contract management; closing; it services; relationship building; managed services; selling; market research; business development manager; sales;;;;1
 QA Executive;Sci&Tech; QA Executive;;;;;;;;;;;;1
 Back End Java Developer - Restful Services/soap;Sci&Tech; Java EE; JMS; Core Java; JUnit; Weblogic; HTML; JPA; JSON; SOAP; SQL;;;2
 Product Engineer;Comm&Mgmt; Conceptualization; Architecting; Continuous improvement; SIDE; development; Front end; it;;;;;;2
 Opening For Articulate tool Developer - Articulate / Captivate)chennai;Comm&Mgmt; Articulate Storyline;;;;;;;;;;;;7
